participant_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14
P001,4,5,3,4,4,5,2,2,4,2,5,3,4,3
P002,3,3,3,1,3,3,5,3,2,3,4,2,4,3
P003,3,3,1,1,3,4,1,1,3,1,4,1,3,4
P004,3,2,1,2,4,3,2,1,5,1,4,1,1,2
P005,5,5,1,5,5,5,1,4,5,5,5,5,5,4
P006,5,4,2,1,5,5,1,1,2,1,3,2,2,3
P007,4,5,1,1,2,4,1,1,1,1,4,2,1,4
P008,4,4,4,2,2,4,2,4,1,2,5,2,2,1
P009,4,4,4,2,2,2,1,3,2,1,4,2,4,5
P010,3,4,4,2,4,3,3,3,4,3,2,2,2,4
P011,2,2,4,1,4,4,1,2,2,1,2,1,2,5
P012,4,2,3,1,2,4,1,1,3,1,3,2,4,2
P014,4,4,3,2,3,5,1,1,2,1,1,1,2,2
P015,2,2,2,2,4,2,1,2,2,1,2,1,2,2
P016,1,3,2,1,1,2,3,1,3,2,4,3,1,3
P018,5,4,3,2,4,4,2,3,2,4,4,2,3,4
P019,2,4,4,1,2,5,2,1,5,2,5,4,4,5
P020,5,5,1,1,4,5,1,1,4,1,4,1,3,4
P021,2,4,3,1,3,4,1,2,2,2,2,2,2,4
P023,4,5,3,2,3,4,1,2,3,1,4,2,3,2
P024,4,3,3,2,5,4,1,4,2,2,2,2,4,5
P025,1,2,1,1,2,2,2,1,3,1,2,1,2,1
P026,5,3,4,2,4,4,5,1,3,3,3,3,4,4
P027,2,3,4,1,4,2,1,2,2,2,2,2,2,2
